AIT台北办事处处长郦英杰吊唁台军死去士兵，目的何在？,“美在臺協會”（AIT）臺北辦事處處長酈英傑。（圖片來源網絡） 臺海軍陸戰隊本月3日舉行搶灘操演，突擊艇翻覆，造成陳志榮及蔡博宇等士官兵罹難，“美在臺協會”（AIT）臺北辦事處處長酈英傑日前罕見出席這兩名在演習中死去士兵公祭。輿論認爲，酈英傑表達哀悼只是表面動作，實質帶有不可告人的政治目的。 一向“高高在上”的酈英傑，居然親臨臺軍士兵公祭，向受難者家屬握手致哀。如此大費周章，真的是單純想表達哀思嗎？ 當然不是！如果AIT如此好心，爲何在臺灣遭受自然災害的時候，不見AIT臺北辦事處人員前往救災救援、爲死去的民衆弔唁默哀呢？ 那酈英傑此舉目的何在？其一，拉攏感情，固化民進黨當局及臺軍官兵對美的依賴和感激。其二，繼續渲染兩岸敵對情緒，製造危機感，持續強化兩岸對立對抗氛圍。其三，傳達美方作爲“後盾”支持臺軍的信號，提升民進黨當局“以武拒統”“倚美謀獨”的信心和勇氣。 “美國在臺協會”近來動作頻頻，在挑撥兩岸關係方面可謂不遺餘力。從去年底臺灣“兩項選舉”時，大肆污衊稱大陸通過釋放假信息、對臺施壓“影響臺灣選舉”，以此強化“仇中”情緒，藉機影響島內民衆投票傾向。今年4月底，AIT連續在網絡媒體發表煽動言論，鼓動民進黨當局參加世衛組織、世衛大會，以推動臺灣擴大國際參與的藉口，企圖在國際上製造“兩個中國”，加劇兩岸對抗。5月，AIT臺北辦事處處長酈英傑“建議”將“中華職棒”更名爲“臺灣職棒”，明顯是鼓動民進黨當局推動“去中國化”，刻意擴大兩岸嫌隙。 如此看來，AIT是美國挑撥兩岸關係的前哨，島內民衆要看清形勢，認清美國把臺灣當棋子使的真實嘴臉。美國在臺協會給兩岸關係添亂，無非是想加劇兩岸對抗，最終會給臺灣帶來無窮的災難，而不是和平與繁榮。（文/雙九）,red
怂恿特朗普为台湾开战的美国议员真提案了，岛内网友：呵呵呵,【環球網報道】在經過一番“預熱”後，美國聯邦衆議院外委會亞太小組共和黨首席議員遊賀當地時間29日正式提出所謂“防止臺灣遭侵略法案”。臺灣“中央社”稱，這項提案授權美國總統在大陸武力“侵犯臺灣”時，動用武力確保臺灣免受襲擊。島內網民在遊賀預熱放風時就“恍然大悟”稱，原來美國武力“協防颱灣”到現在都沒有法律依據，並嘲諷這是今年聽到最好的笑話。在議案被提出後，島內網友說，美國如今和大陸關係不好了，又把臺灣拿出來做做樣子，“筆尖的性質不會改變”。報道稱，遊賀通過新聞稿聲稱，這項提案目的在於闡明並加強美國對於武力攻擊發生時防衛臺灣的承諾。這項提案採取多項重要步驟，以應對大陸對臺灣採取的一系列“侵略”行動。提案還訂有5年“落日條款”（法律或合約中訂定部分或全部條文的終止生效日期）。根據臺媒報道，這項提案給予美國總統有限的國防授權，在臺灣受到大陸的直接武力襲擊、大陸借武力奪取臺灣實質管轄領土，以及臺灣民衆或軍人遇害或生命遭逢威脅等情況下，美國總統有權動用武力，並採取總統認爲的必要與適當措施，確保並捍衛臺灣免受武力襲擊。此外，提案還說，將持續推動美臺高層互訪以及與臺灣就雙邊貿易協定展開協商等。對此，有網友在臉書表示，“臺灣只是個籌碼，跟大陸好的時候，把臺灣踢到一邊，現在跟大陸不好了，就做做樣子。老美很清楚怎麼做纔是對自己最有利益的做法。”針對這項提案，有網友直言，“保險人：臺灣；被保險人：臺灣；受益人：美國”。還有網友說，“提案歸提案，案子過再說，否則都是政治考量。”“不管什麼法，筆尖的本質是不會變的。”“繳了這麼多保護費，終於得到迴應了，但是，真的會來幫忙嗎？呵呵呵”對於遊賀的這個提案，臺灣“中時電子報”日前以“又吃臺灣豆腐”爲題發表評論文章表示，表象上看，美國是在友臺挺臺，實際上是不斷藉由臺灣向大陸出招，甚至意存挑釁。此前，針對有美國政客叫囂“絕對不會對大陸武力攻臺坐視不管”，在國防部今年2月28日的記者會上，國防部新聞發言人吳謙曾明確表示，臺灣問題是中國內政，不容任何外來干涉。任何煽動兩岸敵意、渲染兩岸對抗的行徑，都只會給臺灣同胞帶來災難。以武拒統死路一條，以臺製華註定徒勞。解放軍有堅定的意志、充分的信心和足夠的能力維護國家主權和領土完整。,red
医院证实李登辉“身体状况不理想”，蔡英文、赖清德等前往探视,【環球時報特約記者 張天行】臺灣地區前領導人李登輝28日深夜傳出病情惡化的消息，綠營政客29日先後去醫院探視，引發諸多聯想。據臺灣“中央社”29日報道，李登輝今年2月8日晚間在家中由護理師測量血壓、血糖後，喝牛奶補充營養，卻因喝得太快嗆到咳不停，緊急送往臺北榮民總醫院（榮總）發現肺部浸潤，住院將近半年，28日深夜突然傳出病情惡化及拔管去世的消息。29日凌晨，“臺聯黨”在臉書發文澄清，有名嘴也在臉書撤下李登輝死亡的消息，但一大早榮總門口仍聚集大批媒體守候。聯合新聞網稱，“副總統”賴清德29日取消上午行程，改赴醫院探視李登輝，接着蔡英文和“行政院長”蘇貞昌也到醫院，隨後又傳出李登輝妻子曾文惠上午11時在看護與隨從陪同下抵達榮總的消息，“引發外界諸多聯想”。榮總29日上午稱，李登輝的身體狀況確實不理想，但仍在醫院接受治療，還不到外界傳聞的程度；由於家屬未授權，無法針對病情做進一步說明。李登輝辦公室主任王燕軍發表三點聲明稱，蔡英文、賴清德及蘇貞昌確實在29日上午探視李登輝；相關信息均由“總統府”發言人統一對外說明；有關病情由榮總以新聞稿對外公開。陳水扁還在29日接受採訪時透露，上次拜訪李登輝是在兩年前的1月，當時李的身體狀況就已大不如前，之後他就沒有再前往探視。李登輝出生於1923年1月，在日本殖民時期的“皇民化運動”中曾改名巖裏政男；早期爲臺灣的農業經濟學者，曾任臺大教授，1972年投身政界，歷任臺北市長、“臺灣省主席”及“副總統”等職，1988年蔣經國去世後繼任臺灣地區領導人及國民黨主席；1990年及1996年先後當選第八任、第九任臺灣地區領導人，任內拋出“兩國論”，導致兩岸關係惡化。2000年李登輝因選舉失利卸任，2001年9月爲新成立的“臺聯黨”候選人站臺，正式被國民黨撤銷黨籍。李登輝上任之初，曾在1991年通過“國家統一綱領”，裏面寫有“臺灣固爲中國一部分，大陸也是中國的一部分”的說法，但他很快背棄了自己的政治理念，1999年7月在接受“德國之聲”錄影採訪時拋出“兩國論”，聲稱“海峽兩岸的關係，是特殊的國與國關係”，導致兩岸關係空前緊張。蔡英文時任“國安會”諮詢委員，是“兩國論”起草小組主要成員。2000年李登輝卸任後，蔡英文又出任陸委會主委，成爲民進黨陳水扁當局的兩岸政策掌舵者。卸任後李登輝繼續鼓吹“臺獨”，聲稱“臺灣是一個主權獨立的國家，它的國號叫作中華民國”。大陸國臺辦此前曾多次強調，“臺獨”是一條走不通的死衚衕，只會給臺灣同胞帶來災難。近年來，李登輝因爲身體原因多次被傳死亡。2018年11月29日，他在家中不慎跌倒，撞到頭部，被緊急送醫，兩個多月後出院返家。,red
今年赴台旅客估减千万人次 观光损失相当于6.5栋台北101大楼造价,今年上半年赴臺旅客較去年同期大減78.9%。（圖片來源：臺灣《聯合報》） 中國臺灣網7月28日訊 據臺灣《經濟日報》報道，臺當局觀光部門27日公佈今年上半年赴臺旅客人數統計，受新冠肺炎疫情影響，赴臺旅客僅有126.2萬人次，較去年同期的597.7萬餘人，大幅衰退78.9%。若國際疫情未能緩和，預估全年將較去年大減千萬人次以上。 據報道，依據臺觀光部門2018年針對境外旅客赴臺所做的“旅客消費動向調查”顯示，當年赴臺旅客平均每人共消費3萬7345元新臺幣，若今年旅客量狂減千萬人次，臺灣觀光收益損失金額將高達3734.5億元新臺幣，相當於6.5棟臺北101大樓的造價，對航空公司、旅行社、國際觀光飯店、免稅店、機場相關業者、遊覽車業者等，衝擊相當大。 統計顯示，今年1月疫情未爆發時，赴臺旅客量近81.3萬人，2月起疫情不斷延燒，赴臺旅客量開始大幅縮減，3月減至7.8萬餘人，4月、5月疫情橫掃全球，各地紛紛採取嚴格的邊境管控措施，導致赴臺旅客人數驟降至二、三千人。 臺觀光部門官員分析，國際疫情一天不緩和，國際旅客就不可能赴臺旅遊，有人已預估到年底恐怕都是人出不去、進不來的狀況。若果真如此，今年全年赴臺旅客量恐怕將連135萬都達不到，將較去年的1186.4萬人次，狂減千萬人次以上。（中國臺灣網 李寧）,red
振兴经济=排队+死机？这就是民进党当局的高招,振興經濟=排隊+死機？這就是民進黨當局的高招。（圖片來源網絡） 新冠肺炎疫情衝擊全球經濟，尤其對以出口貿易爲主的臺灣經濟影響深遠。臺當局勞動事務主管部門24日發佈最新“無薪假”數據，島內實施“無薪假”的企業數和人數再度升高至1049家、25208人，較上週增加75家、1601人。顯示疫情對經濟的負面影響不僅沒有暫緩，反而不斷加深。 爲挽救經濟頹勢，民進黨當局早在數月前就曾提出所謂振興經濟“三部曲”，看起來政策制定和實施頗有“節奏感”，但撕開這些名頭響亮的政策包裝，裏面只有“發錢”兩個字。 尤其是最近島內正在發放的“三倍券”，看起來非常實惠，民衆花1000元（新臺幣，下同）就能購買到價值3000元的“三倍券”，但實際使用時卻並沒有那麼美好。 首先，最受臺灣民衆吐槽的是“三倍券”領取流程非常麻煩，需要到官網預約，併到郵局領取。早在此券開領第一天，官網就發生了“當機”，也就是我們常說的系統崩潰；而在實際領取過程中，民衆都要大排長龍。 其次，1000塊錢什麼都能買，但3000塊的消費券，消費起來卻有諸多限制，規則非常細碎，讓網友直呼心累。 第三，由於民進黨當局的一通折騰，導致“三倍券”發放成本比當年馬英九發放的消費券，要多出數億元。而事實上，“三倍券”除了更麻煩、更不方便外，跟消費券根本沒有本質上的區別，都是同一種東西。之所以反覆在申請流程上不斷變化，只是因爲民進黨當局要刻意製造兩者的不同特徵，以免被人說抄襲馬的政策。 臺灣《經濟日報》社論指出，（民進黨當局）凡事都要人民排隊，從年初的排隊領酒精、領口罩，到7月姍姍來遲的“三倍券”仍要上千萬人排隊領紙券，竟將大排長龍解釋爲有刺激效果，對於高達12億元的印製及交易成本卻不以爲意 。 事實上，在三倍券之亂尚未結束之際，民進黨當局的各個職能部門也一窩蜂地推出了五花八門的藝Fun券、動滋券、農遊券、客莊旅遊券等。但由於“期限短，金額低，名額少，且以網路申請，幾十萬人申請就造成網路塞爆、系統當機”，官網甚至貼出“慢慢來，比較快”的笑話，而多數人未中籤而失望，註定振興政策是每下愈況。 排隊等於刺激消費有效，當機等於消費熱情高漲，這就是民進黨當局對於臺灣經濟的洞見和觀察。 殊不知，之所以有這麼多人去排隊或上網預約，來換取優惠，恰恰說明老百姓錢包癟癟，對未來收入情況充滿悲觀預期。民進黨當局自以爲是的“成果”，其實是臺灣經濟沉淪的鐵證。 （文/關其行）,red
压力大，时间长 解放军战机绕台频次增多 台军机疲于应对,據臺媒報道，今年六月起解放軍軍機進入臺灣外圍空域的頻次增多，使臺軍疲於奔命。駐守臺南空軍基地的“經國”號戰機，今年六月飛行時間達成率爲128％，且一半時間用於應對解放軍戰機，雖臺防務部門不願公佈其他基地的戰機飛行時間，但強調會做出適切調配。 根據臺防務部門、日本防衛省統計信息，解放軍戰機僅是今年六月就有十次進入臺外圍空域的紀錄，其中有九次進入臺灣防空識別區西南角；另有一次則取道宮古海峽，進入臺灣東部外圍空域。七月至今也有五次紀錄，其中七月二十三日深夜、七月二十四日凌晨的跨夜演練，讓臺各空軍基地派遣多架次戰機升空。 解放軍軍機進入臺灣外圍空域頻次增多，也使臺軍壓力更加吃重。臺空軍第一聯隊稱，今年六月該聯隊的飛行時間達成率爲128％，半數爲訓練，另外半數爲應對解放軍戰機。 據瞭解，如果解放軍戰機進入臺防空識別區西南角，除了海峽偵巡機外，包括臺中、嘉義、臺南、花蓮等基地也會派戰機增援；另外，駐守於澎湖的IDF“經國”號戰機“天駒部隊”，也會視任務需求協處。,red
专业救捞力量联合出动 台湾海峡翻扣运砂船救助行动仍在持续中,2020年7月26日凌晨，一艘空載運砂船“宏翔819”輪行駛至臺灣海峽翻扣，船上有9名船員。交通運輸部救助打撈局派遣專業救助力量前往搜尋救助，截至目前，成功救助1名遇險人員，並找到四名遇險船員遺體。 “宏翔819”輪船長約150米，寬24米，具體翻扣地點在福建東山島東南68海里處。接廣東海上搜救中心和福建省海上搜救中心信息後，南海救助局和東海救助局迅速派遣專業救助船“南海救101”輪及東海第二救助飛行隊專業救助直升機前往現場搜尋。抵達現場後，發現“宏翔819”輪翻扣漂浮，船體約三分之一露出水面，現場未發現遇險人員，判斷遇險人員可能在翻扣船中。26日，東海第二救助飛行隊及南海第一救助飛行隊先後運送東海救助局、南海救助局、廣州打撈局16名潛水員抵達現場，展開搜救。 截至目前，共執行潛水8班次、14人次，潛水搜尋時間642分鐘，從貨艙成功救出一名遇險船員，並在翻扣船的生活艙和艇甲板艙室打撈出4具遇險船員遺體，仍有4名人員失蹤。下一步將根據搜救部門要求和現場評估結果採取後續搜救行動。 （總檯央視記者 唐穎） ,red
台湾出现今年第3例本地登革热病例 研判为社区群聚感染,臺灣出現今年第3例本地登革熱病例。（圖片來源：臺灣“中時電子報”） 中國臺灣網7月27日訊 綜合臺灣《聯合報》、《中國時報》報道，臺灣21日出現今年首例本地登革熱病例，繼24日出現第2人確診後，26日又出現第3例確診病例，爲桃園區長安裏60多歲男性，也是該地區第2名確診個案。因其住家與第2例個案鄰近，研判爲社區羣聚感染事件，衛生局及環保局已緊急動員消毒。 據報道，臺灣今年首例本地登革熱病例爲居住在桃園區玉山裏的30多歲男性，於21日確診。第2例是第1例的非同住母親，第1例個案曾在6月28日、7月5日及7月11日前往第2例個案住家探視，衛生局初步研判爲羣聚感染事件。 第3例個案爲桃園區長安裏60多歲男性，與第2例爲同村居民，他曾在7月20日出現膝蓋痠痛、21日出現發燒及全身痠痛症狀，就醫時被診斷爲流感。因症狀未改善，7月22日、24日兩度到醫院就醫。25日再次就醫時主動告知醫師居住地附近有登革熱確診個案，經醫院通報及採檢後確診。 當地衛生局表示，第3例個案近期無境外旅遊史，平日活動地點以桃園區住家及蘆竹區老家爲主，因其住家與第2例個案鄰近，研判爲社區羣聚感染事件，已經和環保局緊急動員159人次，針對個案住家及方圓50米範圍內執行孳生源清除等作業，也會持續在長安裏設置社區篩檢站，主動篩檢，以免疫情擴散。（中國臺灣網 李寧）,red
孙大千列绿营政治人物论文争议质问民进党：不愿面对到底在怕什么？,【環球網報道】國民黨高雄市長補選參選人李眉蓁近日被質疑論文抄襲，島內政壇論文風波再起。國民黨前“立委”孫大千今日（26日）在臉書發文表示，論文抄襲嚴重違反學術倫理，原本就是一種零容忍的行爲。李眉蓁既然已經公開道歉，並且申請撤銷學位，接下來的是，民進黨是否要用同樣的零容忍標準，來處理黨內政治人物的論文爭議。孫大千認爲民進黨發言人應該回答的幾個問題。第一，論文當中拼字錯誤連篇，論點錯誤不斷，是否代表這篇論文大有問題？難道蔡英文不應該站出來爲自己的論文說幾句話嗎？第二，“刻意抄襲”和“抄錄不當”的界線究竟在哪裏，難道陳建仁（無黨籍，曾以蔡英文副手身份參加2016年臺灣地區領導人選舉，當選臺灣地區副領導人）不應該站出來說清楚嗎？第三，如果90%算是抄襲，那麼，50%、25%算不算是抄襲？難道這些被點名的民進黨籍（注：原文如此）政治人物不應該站出來解釋嗎。 孫大千還說，民進黨發言人寧願長篇大論地來牽拖國民黨是否有網軍的問題，卻不願意花一點時間來面對黨內重量級政治人物的論文爭議，顯然是一種心虛的表現，到底是在怕什麼？據媒體此前報道，陳建仁曾於2015年被質疑涉“論文抄襲事件”，陳建仁迴應事件時聲稱，是“抄錄不當的瑕疵，而不是抄襲的論文”。此外，據臺灣《聯合報》報道，10年前，現任蔡辦祕書長、當時代表民進黨參選臺中市長的蘇嘉全也曾經卷入論文抄襲風波，甚至當時連蘇嘉全論文雷同的比例、與被抄襲者的關係都被列出。當時蘇嘉全曾控告爆料的國民黨“立委”邱毅，2年後檢察官認證論文“確實有許多雷同”，提出不起訴。而臺灣地區領導人蔡英文也曾被質疑博士學位、論文造假。被質疑論文抄襲後，李眉蓁23日召開記者會，落淚鞠躬致歉，也宣佈放棄中山大學在職碩士班學位。22日，李眉蓁曾發表聲明說，要檢驗論文應該一視同仁，點名蔡英文如果願意出面迴應，她也會按照蔡英文的標準迴應，應該一視同仁。蔡英文23日上午被媒體問到此事時，一度吞吞吐吐，連說8次“Errrr（呃）…”，並趕緊宣稱自己的論文“沒問題”。有島內網民對此反諷，“這題拿給蔡英文答，有點強人所難。”,red
岛内放无薪假人数回升至2.5万人 制造业为重灾区,島內放無薪假人數回升至2.5萬人。（圖片來源：臺灣《聯合報》） 中國臺灣網7月25日訊 綜合臺灣《經濟日報》、《聯合報》報道，臺當局勞動事務主管部門24日發佈最新減班休息（俗稱無薪假）統計，島內實施無薪假的企業數和人數再度升高至1049家、25208人，較上週增加75家、1601人。其中製造業放無薪假企業數及人數皆創新冠肺炎疫情爆發以來新高，達353家、16517人。 據報道，自今年初爆發疫情以來，島內實施無薪假企業數及人數持續上升，直至7月隨着疫情趨緩，一度出現連續兩週明顯減緩趨勢，但本週又增加到25208人。 臺當局勞動事務主管部門官員稱，儘管島內疫情趨緩，但製造業受到海外訂單減少影響，無薪假仍持續惡化，一週內增加38家、590人。 製造業中，金屬機電業爲重災區，放無薪假的企業數及人數都增加，目前有172家、6094人。包括紡織業在內的民生工業，則有76家、4284人；化學工業有71家、4884人。服務業方面，批發及零售業放無薪假企業數和人數上升至332家、4778人。 臺官員稱，因歐美地區陸續爆發第二波疫情，民間消費仍未回溫，致臺灣製造業訂單減少，製造業放無薪假的狀況恐難在短期內明顯下降，後續影響仍須進一步觀察。（中國臺灣網 李寧）,red
又来挑事儿？美议员提案授权总统出兵阻止大陆武统,這兩天，島內一些綠營政客和媒體又出來自嗨了。 據臺灣多家媒體報道稱，美國“友臺派”、共和黨衆議員泰德·遊賀（Ted Yoho）計劃本週將提出一項所謂的“防止臺灣被侵犯法”。該法案將授權美國總統在中國大陸出兵“進攻臺灣”時動用武力迴應。報道也提及，該法案設有5年“日落條款”，即5年後自動終止。 此事引發島內輿論熱議，有網友諷刺說，原來美國武力“協防颱灣”到現在都沒有法律依據，軍機軍艦繞來繞去只是展示而已。還有網友表示，美國會爲臺灣動武是今年聽過“最大的笑話”。 儘管這一法案“作秀”成分居多，且尚未進入投票階段，但依然被民進黨當局和綠營媒體藉機大肆“炒作”。臺當局外事主管部門對此迴應說，感謝美國國會議員近年採取多項所謂“友臺”作爲，還聲稱該法案“展示對臺海穩定的重視”。而民進黨民代羅致政就更離譜，直接把這八字都沒一撇的法案拔升到“對臺重要承諾”的高度。當然，這個號稱要提議案的共和黨議員自然也被一些綠營媒體塑造成了“抗陸護臺”的“友臺人士”。 衆所周知，自民進黨當局和蔡英文上任以來，他們不斷試圖拉攏外部勢力介入臺海局勢，妄圖“挾洋自重”，謀求“臺獨”。而在美國，包括遊賀在內的一些反華議員與“臺獨”分子一唱一和，不斷推出各種誇張的“援臺法案”，在臺海局勢上“興風作浪”，大秀存在感。 可以看出，美國在涉臺軍事關係內容上層層加碼，也越來越公開化。說到底，美國這些口惠而實不至的“法案”，讓民進黨只能是可望而不可及。這些美國政客的目的到底是爲了“友臺”，還是“反華”，不言則明。若民進黨執迷不悟，不肯面對現實，到時候只能竹籃打水一場空，最終受傷的還是臺灣。(文/郭大路),red
全国首个涉台海事审判白皮书在厦门发布，一并公布8个案例,法制網7月21日消息，21日上午，廈門海事法院召開新聞發佈會，發佈建院30年來涉臺海事審判白皮書，並公佈了8個典型案例。據悉，發佈涉臺海事審判白皮書在全國法院尚屬首個。 白皮書顯示，廈門海事法院從1991年11月受理第一起涉臺海事案件以來，案件數量總體呈上升趨勢，截至2020年3月，全院共受理各類涉臺海事案件506件，標的金額12.17億元，在100天內審結的案件佔50%以上。案件類型以傳統海事海商糾紛爲主，其中，海上貨物運輸合同糾紛、海上貨運代理合同糾紛、海上人身損害責任糾紛、船員勞務合同糾紛、船舶碰撞損害賠償糾紛等佔受案總數的67%。 白皮書分析了廈門海事法院涉臺海事審判具有受理海事糾紛涉臺因素廣泛、涉臺當事人選擇廈門海事法院管轄的案件數量增加、涉臺與涉外法律關係交織等特點。在依法維護國家領土主權和海洋權益，依法保障兩岸海上直航，依法保護兩岸同胞合法權益等方面，廈門海事法院堅持改革創新、先行先試，成立涉臺海事審判庭，完善審判組織和服務網絡，擴大臺胞參與海事司法，積極推進兩岸海事司法交流，健全多元化解涉臺糾紛機制，切實破解涉臺司法難題，努力構建區域性海事糾紛解決中心。 （原題爲《全國首個涉臺海事審判白皮書在廈門發佈》） ,red
力抬李眉蓁选情 国民党籍14位县市长将穿插南下辅选,國民黨高雄市長補選候選人李眉蓁。（圖片來源：臺灣《聯合報》） 高雄市長補選將在8月15日投票，國民黨候選人李眉蓁選情仍待突破。綜合臺灣《聯合報》報道，國民黨兵分多路輔選，國民黨主席江啓臣、前主席朱立倫日前皆南下陪同李眉蓁掃街拜票，黨籍14位縣市長週末起將穿插南下幫忙站臺輔選。 國民黨黨務人士指出，因14位黨籍縣市長各自可輔選時間不同，也要配合李眉蓁競選活動規劃，最後行程安排仍在聯繫中，原則上不會一次到齊。黨務人士分析，民進黨高雄市長候選人陳其邁民調雖高，但支持者固定，支持度已達天花板。不過現階段李眉蓁知名度仍偏低，要讓討厭陳其邁的民衆轉向支持她，還有很大努力空間，黨籍14位縣市長輔選可望拉擡李眉蓁知名度與支持度。 除黨籍縣市長牌，國民黨黨務人士表示，要快速拉擡知名度與選情，最有效的方式是舉辦大型造勢活動，陣營內也確實評估參考前市長韓國瑜競選時的“三山造勢”模式，除25日競選總部成立大會、選前之夜外，再舉辦1、2場大型活動。這幾天與前臺灣立法機構負責人王金平交換心得，他有給予一些建議。 至於韓國瑜是否現身相挺，與韓有私交的黨務人士表示，韓國瑜與李眉蓁一直有聯繫，也已經允諾，只要“審慎評估”後，需要他幫忙，隨時可以公開相挺。李眉蓁陣營人士則分析，韓國瑜這張王牌要用在現階段拉擡知名度，還是作爲選戰末期催票關鍵力量，使用時機點仍待最後評估。（中國臺灣網 李寧）,red
蓝绿阵营一致反对，台军“阿帕奇”进驻台东计划搁浅,【環球時報報道 記者 張天行】臺軍剛發生戰搜直升機墜毀事故，“陸軍航空特戰指揮部”就爆出計劃在臺東豐年機場興建“陸航豐年基地”，結果引發藍綠陣營的一致反彈。據臺灣《聯合報》19日報道，臺“陸軍航空特戰指揮部”計劃把“陸航豐年基地”作爲直升機及人員輪訓場地。18日，臺東縣政府爲此舉辦“阿帕奇規劃進駐臺東說明會”，邀請地方各界代表及軍方進行討論，結果地方不分藍綠一致反對，希望軍方另覓他處。報道稱，軍方由“陸軍司令部”參謀長陳忠文率隊出席，提出選擇臺東豐年機場除了應對未來臺灣防衛作戰需要外，主要是機場內有41公頃土地爲軍方所有。臺東縣長饒慶鈴清楚表達反對立場，稱空軍志航基地已影響臺東百姓這麼多年，實在搞不懂“陸航”爲何還要選擇周圍都是住宅區的豐年機場。民進黨“立委”劉棹豪要求軍方深刻體會生活在噪音下的痛苦，國民黨“立委”廖國棟還說，志航基地給居民的回饋是零分，所以從志航基地的經驗看，他絕不同意。在強大壓力下，臺“陸軍司令部”19日上午表示，“基於尊重民意併兼顧國防安全，陸軍司令部將持續溝通，在未獲得共識前，此案將暫緩執行”。“剛墜機就辦說明會 居民怎能不憂？”《聯合報》19日評論稱，針對敏感質疑，軍方仍以“機密、不便回答”爲由迴避。民衆沒有聽到能說服他們接受的答案，自然會反彈，“誰希望家裏上空，每天都有軍機起降擾人呢？更何況航特部一架戰搜直升機纔剛發生意外”。《中國時報》19日稱，“阿帕奇”擺在東部，“在戰術上，作戰價值未必比在西部高”。而在戰略方面，兩岸武力不對稱，升高對立不僅無助於臺海安全，而且以對岸解放軍爲假想敵一味地擴張軍武，使“臺灣後山也將因軍事基地密佈，從好山好水成爲火藥庫”。至於軍方提及“災防支持需求”也有討論空間，因爲一旦災害發生，有更適合的“黑鷹”直升機，“阿帕奇”主要功能仍是在戰場上，並非救災專用。文章直言，“阿帕奇”訓練基地遷到臺東，不管是環保、戰術、戰略等均面臨考驗，“軍方應審慎考慮，避免國安、環保雙輸”。,red
